20038539.0,JTOTAL
1108309.0,AND
618568.0,TO
564065.0,THE
450137.0,OF
324101.0,A
299316.0,IN
234748.0,FOR
219283.0,WITH
210933.0,OR
143827.0,IS
143066.0,AS
139793.0,XE2
139329.0,X80
136495.0,BE
118002.0,EXPERIENCE
117382.0,WORK
96447.0,REQUIRED
94471.0,ARE
89342.0,ON
89261.0,ALL
83890.0,ABILITY
82756.0,MUST
82054.0,YOU
79597.0,AN
77718.0,OUR
77667.0,SKILLS
76054.0,THIS
72000.0,JOB
71652.0,WILL
70465.0,SERVICE
67854.0,AT
67574.0,BY
65629.0,OTHER
65353.0,CUSTOMER
65106.0,POSITION
63422.0,WE
59860.0,THAT
54968.0,XA2
53606.0,INFORMATION
52260.0,DUTIES
49700.0,HAVE
48422.0,OFFICE
46978.0,S
46892.0,MAY
45338.0,-
44194.0,TEAM
42387.0,INCLUDING
42176.0,FROM
41879.0,REQUIREMENTS
41677.0,KNOWLEDGE
40373.0,YOUR
39766.0,EDUCATION
39092.0,HIGH
37978.0,SERVICES
36833.0,NOT
36775.0,TIME
36402.0,MANAGEMENT
36296.0,X99S
35940.0,ENVIRONMENT
35079.0,ABLE
35071.0,SUPPORT
34864.0,SCHOOL
33147.0,YEARS
32402.0,CUSTOMERS
31628.0,QUALIFICATIONS
31465.0,PROVIDE
31352.0,MAINTAIN
31189.0,COMPANY
30781.0,RESPONSIBILITIES
30633.0,TRAINING
30483.0,WORKING
30020.0,PROCEDURES
29706.0,PERFORM
28686.0,PREFERRED
28660.0,EQUIPMENT
28536.0,EMPLOYMENT
27730.0,ASSIGNED
27127.0,AMP
27081.0,RELATED
27040.0,BUSINESS
27039.0,STAFF
26839.0,INCLUDE
26729.0,HEALTH
26719.0,UP
26288.0,PROGRAM
25991.0,COMMUNICATION
25824.0,EMPLOYEES
25823.0,MEDICAL
25797.0,OPPORTUNITY
25648.0,ANY
25479.0,1
25454.0,DEPARTMENT
25196.0,YEAR
25119.0,CARE
24880.0,ENSURE
24826.0,IF
24819.0,HOURS
24780.0,THEIR
23771.0,RESPONSIBLE
23641.0,DATA
22944.0,THROUGH
22786.0,PROFESSIONAL
22678.0,ASSIST
22469.0,NEEDED
22270.0,PROCESS
22266.0,SALES
22222.0,XC2
21896.0,MORE
21880.0,EXCELLENT
21868.0,FUNCTIONS
21798.0,REPORTS
21786.0,ONE
21776.0,COMPUTER
21404.0,NEW
21279.0,EQUIVALENT
21080.0,APPROPRIATE
21067.0,EMPLOYEE
20970.0,WHO
20960.0,ADMINISTRATIVE
20873.0,APPLY
20786.0,BENEFITS
20586.0,WITHIN
20555.0,PATIENT
20491.0,GENERAL
20210.0,STRONG
20157.0,APPLICANTS
20116.0,MINIMUM
20064.0,ESSENTIAL
20033.0,NEEDS
19865.0,USE
19210.0,SYSTEM
19115.0,STATE
18864.0,TYPE
18810.0,LEVEL
18427.0,PLEASE
18317.0,ACTIVITIES
17948.0,APPLICATION
17889.0,INSURANCE
17878.0,STATUS
17868.0,WRITTEN
17854.0,SAFETY
17782.0,WELL
17753.0,2
17724.0,PROGRAMS
17619.0,PHYSICAL
17538.0,DEGREE
17414.0,QUALITY
17247.0,POLICIES
17145.0,SUCH
16977.0,PROVIDES
16884.0,BUT
16785.0,XB7
16540.0,IT
16499.0,EMPLOYER
16416.0,RECORDS
16305.0,SCHEDULE
16295.0,PROVIDING
16272.0,CENTER
16240.0,EQUAL
16235.0,ABOUT
16133.0,WHEN
15968.0,LICENSE
15920.0,TASKS
15856.0,COMMUNITY
15820.0,PEOPLE
15794.0,DIPLOMA
15724.0,COMPLETE
15664.0,NECESSARY
15656.0,CAN
15652.0,MEET
15546.0,BASIC
15348.0,PRODUCTS
